name,key,title,location,date,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description
TAM Development Co.,91ae7cc27ee51515,"Tamheer Opportunities - Product and Operation Analyst, Digital",Riyadh,2024-06-26,,22 days ago,22,,[],[],"['graduate', 'bachelor']",https://apply.workable.com/j/6AF1915059,https://indeed.com/cmp/Tam-Development-Co.,['powerpoint'],"['responsible', 'analysis', 'design']",[],"tam is a saudi publicly listed company specializing in digital solutions and advisory services for public and private sector clients. tam is the partner of choice for 50+ government entities to lead public impact initiatives operating under the vision 2030 umbrella. to learn more about tam, visit: (https://tam.sa/) we are currently looking for interns to join our digital team, who are going to be responsible for supporting team in collecting client requirements and needs, conducting interviews and organizing surveys, analyzing business processes, procedures, workplace practices, and customer needs in addition to preparing data models, functional flow charts and other documents. key responsibilities and objectives: collecting client requirements and needs, conducting interviews and organizing surveys. analyze business processes, procedures, workplace practices, and customer needs, translate them into system functions and requirements, and formulate design documents and flowcharts. prepare data models, functional flow charts and other documents, and prepare and present the required elements of the project. conduct testing and performance evaluation analysis, ensuring software, applications and scripts adhere to set standards. program start date: july - august 2024 length: 6 months location: tam riyadh office requirements fresh graduate with a bachelor degree of computer science, information technology , information system, management information system and software engineer. ensure that you meet the program joining requirements ( registered at taqat, never benefited from tamheer program and not registered in gosi in the past 6 months). unemployed currently. proficiency in arabic and english (both spoken and written). knowledge in microsoft office program such as (powerpoint, excel and word)"
aramcoservices,37b75e164dbaf8a5,Plng & Perf Mgmt Specialist,Saudi Arabia,2024-06-26,,22 days ago,22,,[],[],[],https://careers.aramco.com/expat_us/job/Plng-&-Perf-Mgmt-Specialist/854758123/,https://indeed.com/cmp/Aramcoservices,[],"['commitment', 'initiative', 'responsible', 'discipline', 'responsibility', 'collaboration', 'reliable', 'planning', 'organization', 'mentorship', 'accountability', 'professional', 'analysis', 'coordination', 'design']",[],"job req id: 13994 description: aramco energizes the world economy. aramco occupies a unique position in the global energy industry. we are the world's largest producer of hydrocarbons (oil and gas), with the lowest upstream carbon intensity of any major producer. with our significant investment in technology and infrastructure, we strive to maximize the value of the energy we produce for the world along with a commitment to enhance aramco’s value to society. headquartered in the kingdom of saudi arabia, and with offices around the world, we combine market discipline with a generations’ spanning view of the future, born of our nine decades experience as responsible stewards of the kingdom’s vast hydrocarbon resources. this responsibility has driven us to deliver significant societal and economic benefits to not just the kingdom, but also to a vast number of communities, economies, and countries that rely on the vital and reliable energy that we supply. we are one of the most profitable companies in the world, as well as amongst the top five global companies by market capitalization. job purpose we are seeking a planning &amp; performance management analyst to join the pipeline, distribution &amp; terminal. the pipeline, distribution &amp; terminal is responsible for transporting, distributing, and exporting hydrocarbons to meet domestic and international demand. your primary role is to plans and executes planning and performance management analytical activities under the general supervision of higher-level p&amp;pm staff and supervisor. responsibilities you will be required to perform the following: provides analytical findings &amp; recommendations relating to regular p&amp;pm tasks such as business plan preparation, performance tracking and measurement, and performance analysis and accountability reporting. conducts special p&amp;pm related studies such as the development of performance initiatives and business cases, benchmarking, risk management, design and re-design of measurements, processes and workflows, and information system-related changes. provides supervision, coordination and/or facilitation in the execution of regular and special tasks by other p&amp;pm personnel, as well as mentorship on p&amp;pm analytical practice. performs other related staff and analytical duties, as assigned. responsible, under the general direction of the head of the p&amp;pm organization for generating analytical findings and recommendations across the scope of objectives and deliverables of the organization, either independently or in collaboration with others. you are expected to more proactively identify problems and issues that arise in your assigned areas, and recommend solutions for these. supervision and guidance for the position are generally minimal. personal initiative expected in identifying and resolving p&amp;pm problems and issues, and the extent of mentorship the incumbent provides. education &amp; experience requirements as the successful candidate you will hold a bachelors degree in [finance] from a recognized and approved program. an advanced degree is preferred. you will have [fifteen years] experience in planning &amp; performance management, including at least ten years in financial analysis. you will have excellent command of oral &amp; written english. excel is a requirement. solid knowledge and understanding of management accounting, finance. professional certification (cma, cfa, cpa) is preferred certificates data not available working environment our high-performing employees are drawn by the challenging and rewarding professional, technical and industrial opportunities we offer, and are remunerated accordingly. at aramco, our people work on truly world-scale projects, supported by investment in capital and technology that is second to none. and because, as a global energy company, we are faced with addressing some of the world’s biggest technical, logistical and environmental challenges, we invest heavily in talent development. we have a proud history of educating and training our workforce over many decades. employees at all levels are encouraged to improve their sector-specific knowledge and competencies through our workforce development programs – one of the largest in the world. country/region: sa"
NOV Inc.,d1fea23368cf9793,Supply Chain Analyst,Jubail,2024-06-26,Full-time,22 days ago,22,3.8,['150'],[],"['bachelor', ' ms ']",https://egay.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/preview/28564,https://indeed.com/cmp/Nov-ecb016fc,"['oracle', ' excel ']","['communication skills', 'innovation', 'communication']",[],"primary responsibilities: collect weekly data on supplier performance, pricing, cost allocation, purchasing, item lead-time; find where the gaps &amp; areas of improvement keeping iktva on mind, define departmental kpi’s with management &amp; continually highlighting the areas of improvement. ensuring hse compliance for themselves and their suppliers, adhering to all company policies. education/qualifications: bachelor’s in business administration or equivalent. excellent communication skills required, both written and verbal. mastery of english language &amp; arabic is a must. analytical &amp; supplier development experience is preferred; knowledge or prior experience in oracle system or similar application is preferred. proficiency in electronic software programs such as ms office excel is a must facility/group specific responsibilities: the function and purpose of this position is to support the needs of arm and ensure the company complies with all local and international laws. every day, the oil and gas industry’s best minds put more than 150 years of experience to work to help our customers achieve lasting success. we power the industry that powers the world throughout every region in the world and across every area of drilling and production, our family of companies has provided the technical expertise, advanced equipment, and operational support necessary for success—now and in the future. global family we are a global family of thousands of individuals, working as one team to create a lasting impact for ourselves, our customers, and the communities where we live and work. purposeful innovation through purposeful business innovation, product creation, and service delivery, we are driven to power the industry that powers the world better. service above all this drives us to anticipate our customers’ needs and work with them to deliver the finest products and services on time and on budget. corporate our family of companies is supported by our global corporate teams, providing expert knowledge from functions including human resources, information technology, compliance, finance, qhse, marketing and legal centers of expertise. we are structured to provide guidance and service above all to all our business operations."
HDR,db3881dd60f52611,Deputy Project Manager,Ha'il,2024-06-26,Full-time,23 days ago,23,3.8,"['8', '10']",[],"['master', 'bachelor', ' ms ']",https://hdr.taleo.net/careersection/ex/jobdetail.ftl?job=179700&tz=GMT-05%3A00&tzname=America%2FChicago,https://indeed.com/cmp/Hdr,[],"['commitment', 'collaboration', 'communication skills', 'innovation', 'planning', 'project management', 'ownership', 'decision-making', 'research', 'leadership', 'written communication', 'analysis', 'communication', 'design']","['project management', 'metrics', 'monitoring']","deputy project manager - (179700) about us at hdr, we specialize in engineering, architecture, environmental and construction services. while we are most well-known for adding beauty and structure to communities through high-performance buildings and smart infrastructure, we provide much more than that. we create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists. that's why we believe diversity is our greatest strength. hdr is proud to be an equal opportunity workplace and an affirmative action employer. watch our story:' https://www.hdrinc.com/our-story' we believe that the way we work can add meaning and value to the world. that ideas inspire positive change. that coloring outside the lines can illuminate fresh perspectives. and that small details yield important realizations. above all, we believe that collaboration is the best way forward. primary responsibilities in the role of deputy project manager, we'll count on you to: collaboration and stakeholder engagement: work with and help coordinate multidisciplinary teams, including smea/planning/economics, to ensure an integrated approach to project completion. engage with external stakeholders, including government bodies and community groups, to align project outcomes with regional needs. leadership support: support project team in the determination of priorities, resource requirements, and sequence for execution. provide thought partnership to senior leadership, offering insights, recommendations, and data-driven perspectives to inform strategic decision-making. client engagement support: build executive facing presentations and analyses as required by the project manager and principal client leadership scenario planning and workshop facilitation: lead scenario planning exercises to anticipate future challenges and opportunities. facilitate strategic workshops to align team efforts and foster innovative thinking. strategy development: oversee the development of strategic choices for the future of urban development projects, taking inputs from several dozen subject matter experts, and synthesizing the data into summarized, actionable insights from several internal analysis tools (e.g., swot analysis). create the narrative required to sell transformational and or breakthrough ideas. research and innovation: keep atop emerging trends, best practices, and innovations as it relates to regional and urban development. lead the efforts in identifying relevant trends and opportunities including their assessment and determination on if and how they can impact the planning process. performance monitoring and reporting: monitor the progress of urban planning initiatives, ensuring they meet strategic objectives. establish metrics and key performance indicators (kpis) to measure the success of tasks within the project timeline. report on project status, challenges, and achievements to senior management and client stakeholders. special projects: lead special projects and tasks that go well beyond the scope of the role if required. li-mw4 preferred qualifications bachelor's or master's degree in economics or closely related field a minimum of 8 years experience in project management proficiency with microsoft office programs extensive graphics and report document production experience experience with gis and ms office strong oral and written communication skills leadership skills and ability to work in a team environment may require the ability to travel an attitude and commitment to being an active participant of our employee-owned culture is a must required qualifications bachelor's degree in urban planning or closely related field a minimum of 10 years experience in regional and local planning and design aicp certification desired proficiency with microsoft office programs extensive graphics and report document production experience experience with gis strong oral and written communication skills leadership skills and ability to work in a team environment may require the ability to travel an attitude and commitment to being an active participant of our employee-owned culture is a must preferred qualifications master's degree in urban planning or related field why hdr at hdr, we know work isn't only about who you work for it's also about what you do and how you do it. led by the strength of our values and a culture shaped by employee ownership, we network with each other, build on each other's contributions, and collaborate together to make great things possible. when you join hdr, we give you license to do the same. we help you take charge of your career, giving you multiple growth opportunities along the way. primary location: saudi arabia-hail industry: building engineering schedule: full-time employee status: regular businessclass: transportation planning job posting: jun 3, 2024"
Afaq - Warehouse Branch,f2968cf1aa67a98b,Data Analyst,Riyadh,2024-06-26,Full-time,26 days ago,26,3.5,[],[],[],https://www.amazon.jobs/jobs/2543252/data-analyst?cmpid=DA_INAD200785B,https://indeed.com/cmp/Amazon.com,"['tableau', 'oracle', 'redshift', 'python', 'sql', 'streamlit', 'aws', 'quicksight', 's3']","['design', 'initiative', 'accuracy', 'communication skills', 'research', 'attention to detail', 'leadership', 'analysis', 'communication', 'decision making']","['statistics', 'scripting', 'data analysis', 'metrics', 'data mining']","proficient with data warehouse reporting and query design, ability to query web sources proficient with sql and quicksight proficient with scripting languages like python/julia strong analytical, math, statistics, data analysis, listening &amp; communication skills knowledge of aws (redshift, lambda, s3) good written and spoken english amazon is a highly data driven company highly obsessive about metrics. the data analysts play a crucial role in creating unique reports from data available in multiple locations and providing vital insights into the root cause of quality defects and inventory adjustments. icqa data analyst will work closely with the icqa, learning and finance departments to provide data and analytical support for the business. key job responsibilities development of data collection processes and data management systems designing of queries, compiling of data, and generation of reports in sql charting and graphing of data for reporting purposes developing dashboard (tableau and quicksight) to support business decision making and dive deep activities develop automation solution for analysis (python script) prepare and publish reports for business reviews (weekly business review, quarterly business review, project updates) supporting leadership team how to interpret data trends as needed in depth research of defect trends data collection and entry as needed data mining and problem solving present analysis in easily digestible standard reports support to icqa &amp; learning team projects we are open to hiring candidates to work out of one of the following locations: jeddah, sau | riyadh, sau initiative to develop tools, data collection processes, and data management systems knowledge of amazon systems and fulfillment center processes experience with oracle, ruby on rails, and html proven ability to work productively and efficiently in an independent setting proven ability to clearly communicate with managers and associates at all levels global perspective and solid understanding of business objectives excellent attention to detail and work with the highest level of accuracy tableau or powerbi experience knowledge of modern web application frameworks streamlit/genie"
British American Tobacco,ec910e6df2053ba2,"Corporate Finance Analyst, Tax",Jeddah,2024-06-26,Permanent,26 days ago,26,4.3,[],[],"['graduate', 'bachelor']",https://careers.bat.com/job/-/-/1045/13413174016,https://indeed.com/cmp/Bat-a1595c2c,"[' c ', 'java']","['passion', 'responsible', 'responsibility', 'collaboration', 'innovation', 'problem-solving', 'teamwork', 'research', 'leadership', 'time management', 'analysis', 'communication']",['data analysis'],"bat is evolving at pace - truly like no other organisation. to achieve the ambition, we have set for ourselves, we are looking for colleagues who are ready to live our ethos every day. come be a part of this journey! bat ksa is looking for an corporate finance analyst, tax seniority level: g33 function: finance location: jeddah - ksa role positioning and objectives the role is responsible for assists high-net-worth individuals and businesses with their tax returns. they help with tax return preparation and filing to make sure they adhere to all pertinent local, state, and federal tax regulations and obligations. reports to: assistant corporate finance manager geographic scope: saudi arabia what you will be accountable for aid with mergers and acquisitions, tax due diligence, strategy, and integration projects. determine and report to the client’s payroll departments your relocation costs in different currencies. carry out nexus reviews and assistance provided with submitting state tax registrations. improve the processes in your area of responsibility to increase efficiency. conduct tax research and assist in the analysis of complex tax problems. support audit and compliance efforts both internally and externally, including data analysis. serve as the key contact on assigned engagements and executive presence. manage new setups for vendors and customers, along with the associated tax paperwork. essential experience, skills and knowledge a bachelor’s or graduate-level degree in business, finance, computer science, or a related field, or comparable work experience knowledge of java, sox, and c software and systems leadership and time management abilities were evident. comfortable problem-solving and troubleshooting. knowledge of object-oriented programming and general ledgers strong communication and organizational skills dependable detail-orientation and an aptitude for critical thought. proficient with spreadsheets and gaap guidelines. we are bat at bat we are committed to our purpose of creating a better tomorrow. this is what drives our people and our passion for innovation. see what is possible for you at bat. global top employer with 53,000 bat people across more than 180 markets brands sold in over 200 markets, made in 44 factories in 42 countries newly established tech hubs building world-class capabilities for innovation in 4 strategic locations diversity leader in the financial times and international women’s day best practice winner seal award winner – one of 50 most sustainable companies belonging, achieving, together collaboration, diversity and teamwork underpin everything we do here at bat. we know that collaborating with colleagues from different backgrounds is what makes us stronger and best prepared to meet our business goals. come bring your difference!"
Deloitte,47c479fdaaa702d8,Risk Advisory | Accounting & Internal Controls | Business Analyst - Saudi National,Riyadh,2024-06-26,,27 days ago,27,3.9,"['100', '0-2']",[],[' ms '],https://middleeastjobs.deloitte.com/careersME/PipelineDetail/Risk-Advisory-Accounting-Internal-Controls-Business-Analyst-Saudi-National/210258,https://indeed.com/cmp/Deloitte,['powerpoint'],"['commitment', 'integrity', 'collaborative', 'confidence', 'planning', 'organization', 'accountability', 'leadership', 'professional', 'communication']",[],"location riyadh risk advisory | accounting &amp; internal controls – business analyst deloitte, established globally in 1845, is the world’s largest and leading professional services firm, providing audit and assurance, tax, consulting, financial advisory, and risk advisory services to public and private clients spanning multiple industries. we are present in more than 150 countries, and as the world's largest management consulting business, deloitte is distinct in its ability to help clients solve their most complex problems, from strategy to implementation. deloitte has a proud legacy in the middle east region, with an uninterrupted presence since 1926, and is present across 23 offices in 15 countries with 7,000+ professionals in the levant region and the wider gcc. we have served as trusted advisors for clients for almost 100 years and contributed to the advancements and growth of the professional services industry in the region. we have received numerous awards in the last few years, such as brand finance’s strongest and most valuable ""commercial services"" brand in the world for the 6th consecutive year (2024), the great place to work® and best workplaces™ in the uae (2022-2023), the great place to work® and best workplaces™ in the ksa (2022-2023), ""world’s most attractive employers"" (2023), the middle east tax firm of the year (2023). these awards are a recognition of how deloitte makes an impact that matters to its clients, talent, and society. we invest in outstanding people of diverse talents and backgrounds and empower them to achieve more than they could elsewhere. our work combines advice with action and integrity. we believe that when our clients and society are stronger, so are we. our organization has grown in scale and diversity, providing services across the region, with our shared culture remaining the same. we aim to help clients realize their ambitions, make a positive difference in society, and maximize the success of our people. this drive fuels the commitment and humanity that run deep through our every action. our purpose deloitte makes an impact that matters. every day we challenge ourselves to do what matters most—for clients, for our people, and for society. we serve clients distinctively, bringing innovative insights, solving complex challenges and unlocking sustainable growth. we inspire our talented professionals to deliver outstanding value to clients, providing an exceptional career experience and an inclusive and collaborative culture. we contribute to society, building confidence and trust in the markets, upholding the integrity of organizations and supporting our communities. our shared values guide the way we behave to make a positive, enduring impact: lead the way serve with integrity take care of each other foster inclusion collaborate for measurable impact during your tenure as a business analyst, you will support the middle east risk accounting &amp; internal controls team in working on practice initiatives, and collaborating with teams to develop technical proposals including but not limited to the following: brand building proactively seek opportunities and identify initiatives around brand building business development working on practice initiatives, and collaborating with teams to develop technical proposals technical responsibilities perform business process understanding and process documentation capturing internal controls assist in identifying major risks and key controls in auditable areas support in conducting meetings with auditees/process owners (kick-off and closing meetings) assist in planning meetings and liaising with ia team prior to and during internal audit review. support in developing and updating audit programs, in line with the agreed upon scope participate in different types of internal audit reviews (financial, operational, compliance) to appraise financials controls, reporting systems, and compliance processes, etc. performs audit tasks, including collecting and analyzing relevant audit documents or data, to identify potential audit issues, root causes, and potential solutions support in developing internal audit reports ensure adequate documentation of the internal audit assignments executed in the relevant audit programs and working papers follow-up on the status of previously raised internal audit findings participates in audit meetings and prepares meeting minutes for distribution to appropriate stakeholders apply deloitte tools and methodologies to identify, assess, and prioritize client’s requirements ability to navigate multiple commitments on a regular basis to balance tasks across various client commitments daily communication with senior team members and peers addressing requirements and tasks raised by senior team members understanding and adherence to quality and risk management requirements leadership capabilities: builds own understanding of our purpose and values; explores opportunities for impact demonstrates strong commitment to personal learning and development; acts as a brand ambassador to help attract top talent understands expectations and demonstrates personal accountability for keeping performance on track actively focuses on developing effective communication and relationship-building skills understands how their daily work contributes to the priorities of the team and the business qualifications: bachelors in accounting/finance or equivalent saudi national with 0-2 years of prior experience in finance, banking, accounting, it &amp; information security... experience with big 4 is preferred very good command of written and spoken english, arabic excellent communication and people skills, with a strong emphasis on team working ability to operate and understand excellent project and program management disciplines including production of project plans and key quality program deliverables strong administrative and numeracy skills and ability to analyze complex data with good attention to details excellent knowledge in ms office applications especially in powerpoint, word and excel ability to work within a team to deliver large engagements for clients experience in planning and managing timelines across projects strong microsoft office skills (excel, word, powerpoint) ability to handle multiple task and responsibilities in a deadline-oriented environment and flexible work hours willingness to travel (required) as part of your application, you need to take the below test as well. scan the qr code to complete your assessment and then click on apply!"
شركة رتاج وشريكة للإستشارات الهندسية,30f47f5b8edf2d21,Financial Analyst,Jeddah,2024-06-26,"Permanent, Full-time",28 days ago,28,,['1-3'],[],['bachelor'],http://sa.indeed.com/job/financial-analyst-30f47f5b8edf2d21,https://indeed.com/cmp/%D8%B4%D8%B1%D9%83%D8%A9-%D8%B1%D8%AA%D8%A7%D8%AC-%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9,[],"['passion', 'accuracy', 'communication skills', 'problem-solving', 'interpersonal skills', 'written and oral communication', 'organization', 'decision-making', 'leadership', 'analysis', 'communication']","['problem-solving skills', 'metrics']","educational qualification: bachelor degree in finance. experience: 1-3 years of experience in related fields skills: · excellent analytical, decision-making, and problem-solving skills · attention to accuracy and detail required · outstanding presentation and reporting skills · comfortable using a computer for various tasks · proven leadership abilities · strong quantitative and analytical competency · advanced knowledge of excel · ability to streamline function and passion to learn and grow · strong interpersonal skills, including written and oral communication skills language: ·fluent english · arabic communication channels internal communications: managers and owners external communications: auditors, consultants, and any other external providers main job responsibilities -evaluate financial performance by comparing and analyzing actual results with plans and forecast - produce monthly reports, which include key metrics, financial results, and variance reporting - spearhead the annual and quarterly budgeting and forecasting processes. - analyze financial data and create financial models for decision support -create recommendations to be presented to management and executives. -identify opportunities for performance improvement across the organization. -work closely with the accounting team to ensure accurate financial reporting -coordinating with other members of the financial team when required, to review financial information and forecast. -prepare kpi’s and corresponding analysis across the organization -communicate or liaise with direct management, finance personnel and other analysts in meeting task assigned by the firm -participate in various special projects -perform risk assessments -assist in payroll running process نوع الوظيفة: دوام كامل, دائم"
Parsons,4aee5b82331ed305,Data Analyst ( Super User - Power BI),Tabuk,2024-06-26,Full-time,28 days ago,28,3.9,['5'],[],['bachelor'],https://parsons.wd5.myworkdayjobs.com/en-US/Search/job/SA---Tabuk---NEOM/Data-Analyst---Super-User----Power-BI-_R154620,https://indeed.com/cmp/Parsons,['power bi'],"['analysis', 'attention to detail', 'accuracy', 'organization']",['statistics'],"job description: parsons is looking for an amazingly talented data analyst to join our team! in this role you will be analyzing data using statistical techniques and providing reports. what you'll be doing: review cost and assist in identifying variances between actuals and forecasts and budget analyzing data using statistical techniques and providing reports developing and implementing databases and data collection systems acquiring data from primary and secondary sources and maintain data systems identifying, analyzing, and interpreting trends or patterns in complex data sets tracking portfolio and project milestones/statistics prepare “what if analysis"" for project budget and forecasts provides project and company management with the necessary tools for project cost control. lead in the analysis, evaluation, and developing forecast of project costs and performance. coordinates staffing requirements in alignment with deployment and forecasts what required skills you'll bring: bachelor’s degree in construction management or finance with 5 years as a data analyst, reporting analyst or junior consultant. experience in financial analysis and reporting excellent english, spoken and written. experience creating dashboards and visual interactive reports using power bi super user power bi. what desired skills you'll bring: highly numerate capacity to work under pressure accuracy and attention to detail reports and presentations to executive-level quality reporting experience in the construction industry and/or large infrastructure projects is a plus knowledge of the project lifecycle and good practice strong controls mindset (versions, file/folder organization, reconciliations, etc.) minimum clearance required to start: not applicable/none parsons is an equal opportunity employer committed to diversity in the workplace. minority/female/disabled/protected veteran."
Cognizant,f7b660428dd25d3d,Data Steward,Riyadh,2024-06-26,Full-time,29 days ago,29,3.9,[],[],['master'],https://click.appcast.io/track/jn2n73u-org?cs=hqw,https://indeed.com/cmp/Cognizant-Technology-Solutions,[],"['commitment', 'integrity', 'problem-solving', 'analysis', 'design']","['data architecture', 'big data', 'problem-solving skills', 'data analysis', 'data governance']","responsibilities: analyse complex data sets for valuable business insights. collaborate with cross-functional teams to understand data requirements and contribute to data strategy development. ensure data quality, reconciliation and integrity through data stewardship practices and governance oversight. perform data profiling and validation, resolving discrepancies and anomalies. analyse the data life cycle and contribute to data model development and participate in designing data flows for reporting and analytics. create and maintain comprehensive documentation for data processes, business glossaries, data dictionaries, and data lineage. support implementation and maintenance of data-related tools (ex. axon) for effective utilization. collaborate with it and business stakeholders to address data-related issues and enhance overall data quality. requirements: banking domain experience. familiar with ndmo domains and has hands on implementation. proficient in data analysis techniques and tools with a strong analytical mind-set. familiarity with data stewardship practices and governance principles. experience in data profiling, validation, and discrepancy resolution. knowledge of data modelling and ability to contribute to data flow design (data warehouse &amp; big data). strong documentation skills for maintaining data-related documentation. ability to work collaboratively with cross-functional teams and communicate effectively. understanding of data-related tools and technologies (ex. axon). knowledge of data quality best practices with a commitment to ensuring data integrity. proactive problem-solving skills for timely resolution of data issues. dama certified is a plus. data steward, data analyst, data management specialist ndmo, dama, data steward, metadata, data quality, data governance, data architecture, master data management. analyse the data life cycle and contribute to data model development and participate in designing data flows for reporting and analytics. financial/banking the candidate should possess proficient english &amp; arabic fluency. #li-ctsapac"
"S3, Inc.",6ab1f00c6ab9bb88,Program Control Analyst,Saudi Arabia,2024-06-26,,30+ days ago,30,3.6,[],[],[' bs '],https://phe.tbe.taleo.net/phe01/ats/careers/v2/viewRequisition?org=S3INC&cws=38&rid=4128,"https://indeed.com/cmp/S3,-Inc.","[' excel ', 's3']","['responsible', 'analysis', 'coordination', 'planning']",[],"job code: 4128 s³ arabia has an immediate opening for a program control analyst (pca) to support the program management office of the aviation training support services (atss) contract in support of the ministry of the national guard (mng) aviation directorate in riyadh, kingdom of saudi arabia. position description: the program control analyst reports to assistant finance manager in the team gdc me program management office (pmo). the pca will assist the finance, procurement and accounting team members and the directors with the planning, tracking, analysis and reporting of airfield, training, maintenance, logistics, and facility projects in support of mng operations. these projects vary in size complexity and level of risk and ultimately cover contract execution by the prime contractor and two subcontractors managing product and service execution by more than 1000 us and saudi employees. main duties include: facilitates project setup, prepares the contract work plan (team gdc me template) with all pertinent contract information for the projection, tracking and reconciliation of labor hours/costs and material costs with the prime’s erp and g-21 systems. prepares and provides individual work authorizations (iwas) for the contract staff to identify proper contract charge codes; verifies timecard charges in the prime contractor’s erp system; compares execution and deliverable totals against forecasted budgets; and initiates employee charging in erp and g-21 systems. enters and tracks data through team gdc me sharepoint applications and maintains task products inclusive of an internal auditable notebook of task processes, product deliverables, and schedules. additionally, the pca establishes, maintains, processes, and updates files, records, certificates, and/or other documents as required. the pca may also schedule meetings and conferences, interviews and appointments, and perform other duties related to contract requirements and schedules, and as directed by the assistant finance manager. applies basic finance and accounting principles, theories and concepts to deliver contractually correct work plan in accordance with authorized clins; follows specific details and instructions outlined in team gdc me business operations policies and procedures to solve problems of limited scope and complexity. specific tasks will include the following: prepares budget assessments analyzes costs and assesses performance on multiple project elements develops and monitors budgets; develops dashboard reports for the director of business operations creates/maintains program/project schedules and provides products to project directors as needed develops monthly performance and cost reports to meet customer requirements and deadlines evaluates timecards in the prime’s erp system to ensure employees are properly charging; implements appropriate data for record into work plans creates and maintain individual work authorizations assigns labor codes following coordination with the assistant finance manager analyzes the contract work authorization to develop the work plan for contracts; prepares initial past performance templates in coordination with directors; updates same at option year prepares quarterly quad charts detailing performance of each project at quarterly performance reviews may be responsible for the supervision and mentoring of other employees other duties assigned as necessary qualifications for this intermediate level position: must have a bs degree from credible college in business related major; no substitution of years of experience for the degree must have two to four years of directly related experience must have performed comparable tasks supporting a defense related contract on a scale of 1-5 with 5 being the best, must have level 5 expertise in microsoft office tools on a scale of 1-5 with 5 being the best, must have level 5 expertise working with sharepoint, erp systems, and federal government contracts must have direct and recent experience using excel or erp applications to monitor resource usage and/or track resource allocations must have direct and recent experience in preparing/updating/tracking expenditure using multiple sources to reconcile costs must be willing to work other than standard daily and weekly hours must be willing to deploy to and work inside the kingdom of saudi arabia must meet saudi health requirements for deployment must pass background check and be free of any criminal record if you are a qualified individual with a disability or a disabled veteran, you have the right to request a reasonable accommodation. if you are unable or limited in your ability to use or access the s3 inc. careers page as a result of your disability, you can request reasonable accommodations by calling (256) 539-1700 ext 1127 or by sending an email to: recruiter@s3inc.com . thank you for your interest in s3 inc."
