name,key,title,location,jobType,posted,days_ago,rating,experience,salary,education,feed,link,Tools,Soft Skills,Industry Skills,description,date_of_scrape,Job Role,Job_ind,day,Month,Year,keyword_count
Hewlett Packard,18914b48db5cd12c,Data and Business Analyst,Riyadh,,13 days ago,13,4.0,[],[],[],http://www.respondhr.com/135534039,https://indeed.com/cmp/HP,[],"['analysis', 'analytical skills', 'communication', 'communication skills', 'problem-solving', 'responsible', 'teamwork']",['business intelligence'],the person will be responsible to read data from different sources and generate executive reports for executive management. regularly report on business kpi's and monitor them. generate reports using multiple business intelligence tools and present the outcome. responsibilities: analyzes sales data and compiles information for reports. manages day-to-day post-sales order management and resolution of customer and business issues. resolves order management issues for all product lines using specialized subject matter knowledge and analysis. monitor business kpi's and report on a weekly basis. education and experience required: technical degreee required. relevant experience in data processing and analysis. university degree minimum of three years relevant experience. knowledge and skills: good communication skills strong problem-solving and analytical skills. good teamwork skills. good knowledge in data reporting tools. relevant experience in reporting. #li-post,2024-04-03,DATA ANALYST,1,3,4,2024,4
Devoteam,c4facbaf25c4d315,Business Data Analyst,Riyadh,"Permanent, Full-time, Contract",14 days ago,14,3.6,"['14', '9']",[],[],https://www.devoteam.com/jobs/139820649603310278,https://indeed.com/cmp/Devoteam,"['tableau', 'power bi', 'python', 'excel', 'sql', 'oracle', 'sql server']","['analysis', 'communication', 'design', 'focus', 'interpersonal skills', 'professional']","['data mining', 'data visualization', 'data warehousing', 'transform']","we are entrepreneurs in disruptive technology, at devoteam, we deliver innovative technology consulting for business. digital transformakers, we are 7,000+ professionals across emea dedicated to ensuring our clients win their digital battle. we improve business performance making their companies truly digital. we advise our clients and build it infrastructure for digital, making sure people are along for the ride. devoteam middle east, we are the region's leading consulting firm delivering innovative business &amp; technology consulting &amp; solutions. our 14 years of existence anchored in technologies that enables our clients business to flourish, accordingly our focus is to help our clients' win the digital battle, adapted to our clients’ business challenges, with a unique consideration to its impact on their systems and structures. to know more about us, please visit: www.devoteam.com translate business needs to technical specifications design, build, and maintain charts, dashboards, and kpis design &amp; build bi test cases facilitate the uat workshops with the with business play key roles in building rsd (report specs document) and kpi cards participate heavily in designing &amp; building bi user guides and awareness sessions conduct unit testing and troubleshooting story-telling using data visualization communicate with data warehousing and bi storage tools (e.g. olap cubes) to get the data for the visualizations evaluate and improve existing bi systems develop and execute sql database queries and conduct analyses work with different data format; structured, semi-structured, and geospatial data cleansing and normalization when needed perform descriptive, diagnostic, and predictive analysis on the data 4 - 9 years of experience in the field experience working with senior decision makers strong communication/interpersonal skills proven analytical background advanced excel skills deep understanding of database management systems, online analytical processing (olap) and etl (extract, transform, load) framework excellent background in data warehouse design (e.g. dimensional modeling) and data mining industry experience is a must, preferably with more than one business domain excellent command of sql language using multiple backend database engines such as sql server, oracle, db2, etc.. experience in generating visualization using python libraries is a plus bsc/ba in computer science, engineering or relevant field experience with at least two bi technology (e.g. microsoft power bi, tableau, spotfire, microstrategy, etc..) is a plus fluent in english &amp; arabic certifications business analysis certification from iiba (ecba™) business analysis certification from kpi institute",2024-04-03,DATA ANALYST,1,3,4,2024,13
HungerStation,df68faa65a4af135,Product Analyst - Riyadh,Riyadh,Contract,14 days ago,14,4.5,['3-4'],[],[],https://jobs.smartrecruiters.com/DeliveryHero/743999974647522-product-analyst-riyadh,https://indeed.com/cmp/Hungerstation,"['tableau', 'python', 'redshift', 'postgresql', 'sql']","['analysis', 'communication', 'communication skills', 'design', 'insight', 'ownership', 'responsible', 'team player']","['mathematics', 'statistics']","company description hungerstation is the first saudi food delivery app in the region! established in 2012. today hungerstation enables you to browse the largest selection of restaurants and supermarkets in ksa that reach 35,000+ options. in hungerstation, we stand for our customers' satisfaction, partners’ loyalty and riders’ wellbeing, in addition to our expansion vision - always aiming higher and moving forward to the utmost levels of service platform. hungerstation is part of the delivery hero group, the world’s leading local delivery platform operating in 70+ countries worldwide. job description we are looking for a highly talented product analyst to join our team in riyadh. if you are looking for a place where you can gain hands-on experience and create direct impact, then this may be the place for you! the ideal candidate will have a track record as a significant individual contributor as well as a strong team player. you will be responsible for: drive data mindset in the team, guide in terms of methodology, support and execute testing, and be a quality gatekeeper on data leading to product decisions develop in-depth analytical understanding for what drives growth for the product and how it can be improved leverage insights from analytics data by providing analyses, reports and dashboards for, product management and other departments use quantitative analysis and the presentation of data to see beyond the numbers and understand what drives our business, providing insights to help product managers, designers, and engineers to decide which features to build and why. own data projects from collection to operationalization. work with structured and semi-structured data from different data sources and different products (bigquery, redshift, postgresql and many more). qualifications 3-4 years of experience specifically in product analytics, preferably in e-commerce you've completed a degree in statistics, mathematics, economics, computer science or an equivalent education or possess relevant practical experience very good communication skills in english, both written and oral data analysis: strong experience in sql (bigquery) and python (alternatively r) a/b testing: experience designing experiments and analyzing results with a solid background in statistics tracking technologies: google analytics (preferably iq certified) or similar alternatives e.g. adobe analytics/omniture, snowplow, etc. tag management systems: preferably google tag manager or similar alternatives e.g. tealium, adobe dynamic tag management, etc. data visualization technologies: preferably google data studio or tableau or similar alternatives e.g. looker, qlikview, etc. qa technologies: preferably android studio, charles web debugging proxy, or similar alternatives observepoint, etc. additional information we offer visa &amp; relocation support globally to our permanent employees. exchange ideas and meet 2000+ colleagues from different teams within delivery hero in our active guilds and through our global tech &amp; product community. develop your skills with your personal educational budget for conferences and external training. access our linkedin learning platform and participate in our various inhouse training. and much more… you’ll have the space to learn, grow, and take ownership of your work. we invest in your development, from training or workshops to free language lessons, and we encourage you to take on projects which both interest and challenge you.",2024-04-03,DATA ANALYST,1,3,4,2024,13
atlas crisis management,f5965dca49a9757e,Business Analyst,Riyadh,"Permanent, Full-time",19 days ago,19,,[],[],[],http://sa.indeed.com/job/business-analyst-f5965dca49a9757e,https://indeed.com/cmp/Atlas-Crisis-Management,"['power bi', 'python', 'sql']","['analysis', 'attention to detail', 'communication', 'organization', 'professional']",['business intelligence'],"for more than three decades, uae-based atlas group has built a solid reputation for delivering solutions that works and that can be relied on in the mostdemanding situations. it provides industry leading technologies, highly secured telecommunications and a comprehensive range of security solutions. these solutions support entities that provide safety to businesses and protect society the business has a strong regional presence with operations in uae, ksa, bahrain, kuwait, oman, yemen, afghanstan, morocco, sychelles,pakstan,lebanon, india, ethiopia which gives the company regional breadth and local expertise in its primary markets. it is the first business in the middle east to provide a fully comprehensive telecommunications and security suite backed up by world-class engineers and world class technology. your mission if you accept it ... the business analyst will gather, analyse, and compile data needed to identify trends and patterns, then make recommendations for business actions. gathers business intelligence from a variety of sources including company data, industry and field reports, public information, or purchased sources. assesses market strategies by analysing related products, markets, or trends. uses business intelligence data and tools to identify and monitor current and potential customers. identifies markets for future product development and methods to improve sales of existing products by analysing technology trends. compiles business intelligence or trends to support actionable recommendations. maintains current knowledge of industry and business trends through communication with professional organizations, suppliers, customers, competitors, and other informed individuals. comparing and contrasting products ex. what if parameters. - our stack bachelor’s degree in engineering, it, computer science, business, physics. master’s degree preferred. excellent verbal and presentation skills. highly knowledgeable in power bi, sql &amp; python. ability to collect and compile relevant data from different sources. extremely organized with great attention to detail. excellent ability to analyses information and think systematically. strong business analysis skills. works well independently and as part of a team. thorough understanding of the company’s business processes and the industry at large. ability to handle databases and understand technology-driven business intelligence tools. job types: full-time, permanent",2024-04-03,DATA ANALYST,1,3,4,2024,5
Schneider Electric,ce1a74a064ee1406,Business Finance Analyst,Riyadh,Full-time,19 days ago,19,,['1-3'],[],[],https://schneiderele.taleo.net/careersection/2/jobdetail.ftl?lang=en&job=1662687,,"['excel', 'sap']","['analysis', 'analytical skills', 'collaboration', 'decision making', 'initiative']",['transform'],"responsibilities: perform monthly closing processes. report monthly and quarterly results in tool and analyze the figures data input, maintenance, contribution in development of reports in business intelligence tool provide support to finance business controller in analyzing reported data be able to support business by digging into sap and provide more granular data for the analysis/reports. improve processes and use of tools: leverage all system capabilities, increase automation of processes, deliver efficiencies. aoc/forecast reporting preparation and analysis, support product standard cost update drive cost optimization initiative and closely monitor the productivity including material, dvc labor, mbc. sfc. manufacture cost variance analysis (act vs std), cooperate with cross-functional team to drive product cost down. new product quotation/cost estimation and analysis. inventory management : full control on company inventory ,drive action to reduce the obsolete inventory and optimize the inventory level, identify the risk proactively well ahead of time. internal and external audit support, high risk process improvement and policy update. qualifications requirements: 1-3 years of experience as a controller or analyst bachelor's or master’s degree in finance, accounting, it skills: sap/oracle &amp; bi tools knowledge, advanced knowledge of excel, power query good command of english communication and collaboration skills - essential attention to details and ability to identify issues or inconsistencies experience in building automated reports and models is a must; strong analytical skills and ability to organize, summarize and articulate complex financial information for decision making strong can-do mentality and drive to accomplish tasks in an environment with multiple stakeholders experience in finance transformation is preferred passion for continuous improvements &amp; change management ability to work in pressure and independently primary location: sa-central-riyadh plants schedule: full-time unposting date: ongoing",2024-04-03,DATA ANALYST,1,3,4,2024,4
JASARA PMC,83e46ef6c6f546b4,Senior Worker Welfare / Employment Practices Manager - THE LINE,Tabuk,Full-time,21 days ago,21,,[],[],['bachelor'],https://apply.workable.com/j/64B1B13E17,https://indeed.com/cmp/Jasara-Pmc,['excel'],"['collaborative', 'communication', 'communication skills', 'flexibility', 'focus', 'initiative', 'responsible', 'teamwork', 'written communication']",[],"jasara pmc is seeking a senior worker welfare / employment practices manager for their civil engineering project, the line. as a member of the team, you will be responsible for ensuring that employment practices and worker welfare standards meet the highest industry and ethical standards. jasara is committed to delivering social infrastructure programs that elevate the kingdom of saudi arabia and contribute to the goals of vision 2030, and this role is crucial to achieving that mission. jasara is a joint venture between public investment fund (pif), jacobs, and saudi aramco, and this partnership ensures that jasara is uniquely positioned to take on the most complex programs in the world while maintaining a solutions-based approach. as a senior worker welfare / employment practices manager, you will have the opportunity to work on an innovative project that is redefining urban living and setting new standards for sustainability. responsibilities prepare a high level quarterly audit and inspections plan conduct as snr manager all employment practices audits including conducting fieldwork, interviewing workers and employers to measure compliance against the workers welfare standards. (triangulation) review and approve contractors ethical recruitment feedback reports, as well as other documentation as required attend and present workers welfare requirements at high level contractor mobilization meetings. implement a recruitment fee reimbursement program for worker who has paid recruitment fees implement and lead workers welfare forums as well as lead project ww forum programs on a large scale operation mange, log, and close out employee grievance cases lodged via the hotline provide advice on the best practices and recommended improvements to contractor management. follow up on the implementations of the recommended improvements. conduct training for relevant contractor personnel to ensure adherence by contractors of the standards. must have the ability to function both individually at senior management level and as part of a team conduct workers welfare requirements s during tender evaluations provide workers welfare approval of contractors during pre-start, and mobilization to site perform any other duties assigned by the director welfare &amp; wellbeing related or relevant to the job participate on an ad hoc basis or as required in the neom external audit process. tracking, reporting, and closing out employment practices non-compliance requirements knowledge of ksa labour law requirements. knowledge of the language(s) spoken by migrant workers is desirable (preferably hindi) arabic will be an advantage analytical ability to interpret audit results ability to function both individually and as part of a team competent collaborator and skilled cross-functional communicator. team player who can also work independently as and when needed. demonstrate initiative and problem solver. knowledge of various human rights guidelines and codes experience in liaising with human rights external stakeholders ilo, ministry of labour, external compliance auditors etc excellent excel skills required as well as excellent power point /power bi skills. key performance indicators: ethical practices audits completed and feedback reports issued. agreed timelines are met. maintain quality control of delivery of program hs&amp;w welfare and wellbeing program. client orientation: you are responsible to position yourself and your function in alignment with our core value as a relationship-based company. establish positive client relationships educate and encourage contractors to improve compliance levels and propose suggestions for improvement. initiate and strengthen collaborative relationships with clients and work co-operatively with projects teams. personal competencies: your skills &amp; behaviours required for success that can be observed: data analyst – able to collect and analyze data. auditing &amp; report writing– providing reports, including illustrations to other parties reflecting their compliance levels as well as recommendations. inter-personal skills – guide and train workers' welfare officers to improve compliance levels. traits: your natural style, aptitudes, and tendencies including personality and intellectual capacity. excellent verbal and written communication skills. ability to think clearly, creatively, and imaginatively. positive attitude and a strong focus on teamwork. ability to communicate with people from all backgrounds. ability to build and maintain positive relationships with people. focused on achievement, targets, and continuous improvement. demonstrate a high degree of flexibility and confidentially. ability to work under pressure and tight deadlines. ability to work on own initiative qualifications hold at least a bachelor’s degree in human resources management / welfare / audit and or accounting (or equivalent qualifications) minimum 8 year plus experience in (industry &amp; role) or in the relevant field of expertise. must possess valid ksa drivers’ license",2024-04-03,DATA ANALYST,1,3,4,2024,5
Dexcom,6f4872dcace4f3b4,Finance Manager,Riyadh,,22 days ago,22,3.3,['8'],[],['graduate'],https://careers.dexcom.com/careers?pid=21033907&domain=dexcom.com,https://indeed.com/cmp/Dexcom,['excel'],"['analysis', 'communication', 'coordination', 'discipline', 'focus', 'leadership', 'organization', 'planning', 'presentation skills', 'professional', 'responsibility', 'responsible']","['monitoring', 'transform']","about dexcom founded in 1999, dexcom, inc. (nasdaq: dxcm), develops and markets continuous glucose monitoring (cgm) systems for ambulatory use by people with diabetes and by healthcare providers for the treatment of people with diabetes. the company is the leader in transforming diabetes care and management by providing cgm technology to help patients and healthcare professionals better manage diabetes. since the company’s inception, dexcom has focused on better outcomes for patients, caregivers, and clinicians by delivering solutions that are best in class - while empowering the community to take control of diabetes. dexcom reported full-year 2022 revenues of $2.9b, a growth of 18% over 2021. headquartered in san diego, california, with additional offices in the americas, europe, and asia pacific, the company employs over 8,000 people worldwide. summary: the finance manager is a key role in the company’s mena regional organization, responsible for partnering with the gm in the region and being the senior finance representative . you will be an expert at performance reporting; able to build best in class financial packages with exceptional analytics and visualization . y ou will have responsibility for all fp&amp;a activities including reporting, forecasting, headcount / fte management . you will need to be highly flexible, incredibly organised and be able to drive and deal with a significant amount of change. you will interact with external consu l tants as needed relating to the entities and the compliance needs in region. you will s upport statutory audits in partnership with the emea accounting organisation. you will ensure integration of data produced into systems and supports objectives of financial analysts. you will ensure the accurate compilation and analysis of budget versus actual . participates in special projects. you will drive standardization, and strong end-to-end process management discipline with a focus on business process improvement (“bpi”), as well as stay abreast of new technologies . you will collaborate with all levels of leadership and with subject matter experts to identify and implement finance improvements to enable scale and efficiencies for the long term. essential duties and responsibilities: the role will be responsible for all financial decision support and advice to the local regional commercial leader –the role will partner with the emea pricing manager on all aspects of local pricing reporting, planning and strategy the role will develop world class management information and analysis packages, working with other finance business partners in the emea fp&amp;a team to create consistency across the region the role will be responsible for all fp&amp;a activities affecting the middle east region from month end reporting, management information creation, planning and forecasting the role will forge excellent relationships across the local commercial leadership team, local functional teams and business area, the emea finance business partners and consolidation manager producing accurate financial analysis to specific deadlines, and interpreting the results support cash monitoring and forecasting developing financial management controls that minimize financial risks in partnership with emea accounting organisation conducting reviews and evaluations of cost-reduction opportunities liaising with internal and external auditors as needed within the existing emea accounting framework developing external relationships with appropriate contacts (ex. banks gov’t) managing a lean team supporting site f inance required qualifications: a graduate of bachelor of science in accountancy at least 8 years of solid working experience in financial reporting, taxation and book keeping (ex. accounts payable, accounts receivable, payroll), with transfer pricing experience excellent coordination and interface management skill highly analytical, strong problem solving and negotiating skills excellent communication and presentation skills high integrity and trustworthy, able to handle confidential information has capacity to make quick but rational decisions results driven preferred qualifications: preferably a certified public accountant or the equivalent (cia, cma, cfa etc.) experience in erp systems and corporate web-banking peza reporting and relations experience proficient in ms excel education requirements: bachelor’s degree required . travel required: 0% - 25% supervisory responsibilities: directly supervises employees. carries out supervisory responsibilities in accordance with the organization's policies and applicable laws. is responsible for the overall direction, coordination, and evaluation of this area. responsibilities include interviewing, hiring, and training employees; planning, assigning, and directing work; appraising performance; rewarding and disciplining employees; addressing complaints and resolving problems. language skills: must be able to communicate effectively in english. ability to read and interpret documents such as safety rules, operating and maintenance instructions, and procedure manuals. ability to write routine reports and correspondence. ability to speak effectively before groups of customers or employees of organization. please note: the information contained herein is not intended to be an all-inclusive list of the duties and responsibilities of the job, nor are they intended to be an all-inclusive list of the skills and abilities required to do the job. management may, at its discretion, assign or reassign duties and responsibilities to this job at any time. the duties and responsibilities in this job description may be subject to change at any time due to reasonable accommodation or other reasons. to all staffing and recruiting agencies: our careers site is only for individuals seeking a job at dexcom. only authorized staffing and recruiting agencies may use this site or to submit profiles, applications or resumes on specific requisitions. dexcom does not accept unsolicited resumes or applications from agencies. please do not forward resumes to the talent acquisition team, dexcom employees or any other company location. dexcom is not responsible for any fees related to unsolicited resumes/applications. to all staffing and recruiting agencies: our careers site is only for individuals seeking a job at dexcom. only authorized staffing and recruiting agencies may use this site or to submit profiles, applications or resumes on specific requisitions. dexcom does not accept unsolicited resumes or applications from agencies. please do not forward resumes to the talent acquisition team, dexcom employees or any other company location. dexcom is not responsible for any fees related to unsolicited resumes/applications.",2024-04-03,DATA ANALYST,1,3,4,2024,4
Novel Overseas Corporation,468d9ea47546a87c,Experiences Governance Consultant - Business Analyst - Arabic Speakers,Riyadh,Full-time,29 days ago,29,,[],[],['master'],http://sa.indeed.com/job/experiences-governance-consultant-business-analyst-arabic-speakers-468d9ea47546a87c,https://indeed.com/cmp/Novel-Overseas-Corporation,"['tableau', 'sql']","['analysis', 'analytical skills', 'focus', 'initiative', 'insight', 'interpersonal skills', 'project management']","['data visualization', 'project management', 'statistical analysis']","job description: data analysis &amp; insight generation: analyze customer data, market trends, and the competitive landscape using advanced analytics tools to provide actionable insights, identify patterns, predict customer behavior, and evaluate cx strategies' effectiveness. managing projects: lead cx projects from start to finish, creating rsd (requirements specification document) and cp (concept papers) ensuring they adhere to quality standards, and timelines, and coordinate cross-functional teams to boost customer satisfaction and loyalty. alignment &amp; coordination: align &amp; work with internal units (b2b, b2c, wholesale &amp; others) like marketing, care, sales, and it teams and make sure our cx work fits with the bigger company goals. process improvement: pinpoint and suggest enhancements in customer interactions and company processes to increase efficiency, cut costs, and bolster customer engagement, all backed by data-driven insights. innovation and strategy: stay updated on the latest industry trends and technology. suggest new and creative ways to make our customer experience better and help the business grow. performance measurement: set up and track kpis to assess cx initiatives' success, and regularly report the outcomes, trends, and recommendations to management and stakeholders. qualifications: bachelor’s or master’s degree in business administration, data analytics, or a related field. proven experience as a business analyst, preferably with a focus on customer experience in the telecom sector. strong analytical skills with experience in statistical analysis, forecasting, and data visualization tools (e.g., sql, tableau, power bi). excellent project management abilities, capable of leading projects in a fast-paced environment. proficient in customer relationship management (crm) software. communication and interpersonal skills, with the ability to present complex data to non-technical stakeholders. job type: full-time",2024-04-03,DATA ANALYST,1,3,4,2024,9
aramcoservices,6056a430f4711776,Downstream Data Scientist,Saudi Arabia,,30+ days ago,30,,['5-7'],[],[],https://careers.aramco.com/expat_us/job/Downstream-Data-Scientist/767111423/,https://indeed.com/cmp/Aramcoservices,"['python', 'spark']","['analysis', 'collaboration', 'commitment', 'decision making', 'discipline', 'prioritization', 'problem-solving', 'professional', 'reliable', 'research', 'responsibility', 'responsible']","['problem-solving skills', 'statistics']","job req id: 5504 description: aramco energizes the world economy. aramco occupies a unique position in the global energy industry. we are the world's largest producer of hydrocarbons (oil and gas), with the lowest upstream carbon intensity of any major producer. with our significant investment in technology and infrastructure, we strive to maximize the value of the energy we produce for the world along with a commitment to enhance aramco’s value to society. headquartered in the kingdom of saudi arabia, and with offices around the world, we combine market discipline with a generations’ spanning view of the future, born of our nine decades experience as responsible stewards of the kingdom’s vast hydrocarbon resources. this responsibility has driven us to deliver significant societal and economic benefits to not just the kingdom, but also to a vast number of communities, economies, and countries that rely on the vital and reliable energy that we supply. we are one of the most profitable companies in the world, as well as amongst the top five global companies by market capitalization. job description the sales &amp; operations planning division’s (s&amp;op) charter is to optimize crude allocation and the operations of global manufacturing facilities in order to maximize revenue, increase profitability, and capture international market opportunities. the division also acts as the linear programming (lp) gatekeeper for wholly owned refineries and the integrated global mpims model, which is used for optimizing global crude allocation and exploration of new international markets and integration options. data scientist is to analyze and structure large amounts of raw live and historical data, build algorithms and solutions around the data to drive decision making within the company. this role will be at the core of the forecasting and predictive digital strategy of the company, to support the development of state-of-the-art solution for the downstream digital center. in this role, the data scientist should be highly analytical, with strong skills in analysis, math and statistics. critical thinking and problem-solving skills are essential for interpreting data. the position requires in-depth knowledge of research, machine – learning, artificial intelligence and complex algorithmic development. the data scientists will work as part of the technical support team of the downstream digital center under fuels. they will be working on developing solutions and algorithms for the whole downstream business. the solutions will have cross downstream entities scope and will be relying on a database consolidating all downstream entities live and historical data. the solutions developed will have a high impact, as they will drive collaboration and decision making, for day-to-day operations as well as long-term business development. the downstream digital center technical support team will be interacting with all the downstream entities to collect their solution request. the technical support team will also be interacting and leveraging the other sao it and technical entities for support in developing the solutions. responsibilities formulates and leads guided, multifaceted analytic studies against large volumes of data. interprets and analyzes data using exploratory mathematic and statistical techniques based on the scientific method. coordinates research and analytic activities utilizing various data points (unstructured and structured) and employ programming to clean, massage, and organize the data. experiments against data points, provide information based on experiment results and provide previously undiscovered solutions to command data challenges. leads all data experiments tasked by the data science team. coordinates with data engineers to build data environments providing data identified by data analysts, data integrators, knowledge managers, and intel analysts. develops methodology and processes for prioritization and scheduling of projects. analyzes problems and determines root causes. defines company data assets (data models), spark, sparksql, and hivesql jobs to populate data models. works closely with all business units and engineering teams to develop strategy for long term data platform architecture. education &amp; experience requirements master’s degree in operations research, industrial engineering, applied mathematics, statistics, physics, computer science, or related fields 5-7 years of professional experience proficient with one or more programming languages (java, c++, python, r, etc.) demonstrated experience applying data science methods to real-world data problems experience utilizing visualization tools to take advantage of the growing volume of available information working environment our high-performing employees are drawn by the challenging and rewarding professional, technical and industrial opportunities we offer, and are remunerated accordingly. at aramco, our people work on truly world-scale projects, supported by investment in capital and technology that is second to none. and because, as a global energy company, we are faced with addressing some of the world’s biggest technical, logistical and environmental challenges, we invest heavily in talent development. we have a proud history of educating and training our workforce over many decades. employees at all levels are encouraged to improve their sector-specific knowledge and competencies through our workforce development programs – one of the largest in the world. country/region: sa",2024-04-03,DATA ANALYST,1,3,4,2024,7
aramcoservices,aa610c1f5f032eee,Planning and performance management Specialist,Saudi Arabia,,30+ days ago,30,,['12'],[],[],https://careers.aramco.com/expat_us/job/Planning-and-performance-management-Specialist/853194123/,https://indeed.com/cmp/Aramcoservices,['excel'],"['analysis', 'collaboration', 'commitment', 'communication', 'coordination', 'design', 'discipline', 'initiative', 'organization', 'planning', 'professional', 'reliable', 'responsibility', 'responsible']",['business intelligence'],"job req id: 13279 description: aramco energizes the world economy. aramco occupies a unique position in the global energy industry. we are the world's largest producer of hydrocarbons (oil and gas), with the lowest upstream carbon intensity of any major producer. with our significant investment in technology and infrastructure, we strive to maximize the value of the energy we produce for the world along with a commitment to enhance aramco’s value to society. headquartered in the kingdom of saudi arabia, and with offices around the world, we combine market discipline with a generations’ spanning view of the future, born of our nine decades experience as responsible stewards of the kingdom’s vast hydrocarbon resources. this responsibility has driven us to deliver significant societal and economic benefits to not just the kingdom, but also to a vast number of communities, economies, and countries that rely on the vital and reliable energy that we supply. we are one of the most profitable companies in the world, as well as amongst the top five global companies by market capitalization. job overview as a recognized company expert in the chemical business, ik liquids to chemicals development (ltc)is developing the production, shipping and marketing of low carbon hydrogen and ammonia as an alternative route-to-market for our oil and gas resources. the sr. p&amp;pm specialist candidate will join planning &amp; perf management division (d&amp;pmd). the d&amp;pmd is responsible for developing the admin area strategy for hr, planning and budgeting and workforce planning. also, coordinates senior vp office communications, handles ministry of energy correspondence, and strategy and market analysis requests related to ltc business and briefs for management. candidate’s primary responsibility will be to generating analytical findings and recommendations across the scope of objectives and deliverables of the organization, either independently or in collaboration with others; coordinating planning activities; performing variance analysis; and to proactively identify and provide solutions for problems and issues that arise in his/her assigned areas. in addition, he/she will develop and maintain close partnerships with business/operational counterparts of the admin area organization in his/her assigned areas, and represents his/her organization in cross-functional, cross-organizational teams involved in admin area related tasks. furthermore, the candidate will participate in planning initiatives of his/her organization; may be assigned to lead and supervise work streams; and significantly involved in mentoring others on admin area practice. duties and responsibilities the successful candidate will be required to perform the following: plan, execute and lead finance and performance management analytical activities under the broad guidance of higher-level p&amp;pmd staff and supervisors of the hiring organization, particularly in resolving complex, cross-functional, non-routine and/or design issues generate analytical findings and recommendations across the scope of objectives and deliverables of the organization, either independently or in collaboration with others. proactively identify and provide solutions for problems and issues that arise in his/her assigned areas develop and maintain close partnerships with business/operational counterparts of the p&amp;pmd organization in his/her assigned areas, and represent his/her organization in cross-functional, cross-organizational teams involved in p&amp;pmd-related tasks participate in planning initiatives of his/her organization, may be assigned to lead and supervise work streams and be significantly involved in mentoring others on p&amp;pmd practice business reporting, planning and forecasting create and maintain a financial model for the actual results reporting in combination with the short- to mid-term planning process of the business analyze the monthly results of the product lines, the fixed costs and balance sheet items management of the monthly adjustments and accruals in cooperation with the central accounting teams prepare the management reporting for the commercial and business management managing of the planning process in coordination with the business representatives and the commercial analysts consolidation of the product line results into the business p&amp;l identifying improvement potentials in the business financial advice and support to business projects process mapping of the new implemented structures business integration support for subsidiaries, joint ventures, mergers, and acquisitions performs other related staff and analytical duties, as assigned. minimum requirements a bachelor degree in finance, business, engineering, or a related discipline. possession of an advanced business degree (e.g., mba) and/or relevant professional certification (e.g., cma, cfa, and cpa) is preferred. at least 12 years of related experience. you will demonstrate a strong track record in chemicals and/or refining business functions (either ppmd or other). a demonstrated capability and track record, in the practice of planning and performance management, and in the use of business intelligence tools: performance analysis, assessment and reporting financial (ifrs) reporting business planning/budgeting business case preparation project management financial modelling experience working in chemicals/refining ppmd functions. knowledge in more downstream businesses would be advantageous ability to manage, and analyze large volumes of data possess solid knowledge and understanding of management accounting, finance and excel. articulating complex analysis into simple concepts – strong writing and presentation making/giving ability. you must have an excellent command of oral and written english. working environment our high-performing employees are drawn by the challenging and rewarding professional, technical and industrial opportunities we offer, and are remunerated accordingly. at aramco, our people work on truly world-scale projects, supported by investment in capital and technology that is second to none. and because, as a global energy company, we are faced with addressing some of the world’s biggest technical, logistical and environmental challenges, we invest heavily in talent development. we have a proud history of educating and training our workforce over many decades. employees at all levels are encouraged to improve their sector-specific knowledge and competencies through our workforce development programs – one of the largest in the world. country/region: sa",2024-04-03,DATA ANALYST,1,3,4,2024,4
